feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV31	cshasta	cshasta	0.128425395451053	0.295282848228297	40	8	0.66607822028616	0.98756812371384
ASV39	cshasta	cshasta	0.0105600475767115	0.102478088166882	40	39	0.918467669002092	0.98756812371384
ASV82	cshasta	cshasta	0.375255218205874	0.437413628613112	40	33	0.396328950399389	0.98756812371384
ASV85	cshasta	cshasta	0.013124408555675	0.100154834560826	40	18	0.896434038999105	0.98756812371384
ASV107	cshasta	cshasta	-0.25421926144668	0.366652497251742	40	11	0.492305140340406	0.98756812371384
ASV118	cshasta	cshasta	0.252240131793654	0.437592727473894	40	35	0.567725705474624	0.98756812371384
ASV121	cshasta	cshasta	-0.281245892191877	0.409776079228072	40	10	0.496665300569424	0.98756812371384
ASV140	cshasta	cshasta	0.0934123893331521	0.165672646450828	40	37	0.576177696393525	0.98756812371384
ASV146	cshasta	cshasta	0.128109867921408	0.333362614882574	40	40	0.70290138796085	0.98756812371384
ASV154	cshasta	cshasta	0.572548138495538	0.403879152912743	40	18	0.164449188991735	0.98756812371384
ASV164	cshasta	cshasta	-0.0164927873463062	0.13342980098817	40	30	0.902278363298582	0.98756812371384
ASV170	cshasta	cshasta	0.0853620035300948	0.150589740113516	40	37	0.574148462486916	0.98756812371384
ASV173	cshasta	cshasta	0.117037216210472	0.376838870602796	40	9	0.757819929496007	0.98756812371384
ASV191	cshasta	cshasta	-0.0619343303746931	0.374097826355883	40	11	0.869383641995142	0.98756812371384
ASV193	cshasta	cshasta	-0.266025469030179	0.44977159828892	40	37	0.557709394529167	0.98756812371384
ASV214	cshasta	cshasta	-0.107979299549983	0.3661591517008	40	11	0.769677614012916	0.98756812371384
ASV219	cshasta	cshasta	0.0957402218807209	0.19792549815139	40	37	0.631361583742806	0.98756812371384
ASV247	cshasta	cshasta	0.195201065825503	0.417690870600523	40	17	0.642929948649125	0.98756812371384
ASV255	cshasta	cshasta	0.172461453128358	0.28885324573663	40	20	0.554011310765248	0.98756812371384
ASV260	cshasta	cshasta	-0.434477434905478	0.410774182480529	40	14	0.296868232858298	0.98756812371384
ASV261	cshasta	cshasta	-0.490976525733674	0.389624077413337	40	35	0.215306736359368	0.98756812371384
ASV286	cshasta	cshasta	0.0764787443658482	0.341611059680748	40	6	0.824052584910058	0.98756812371384
ASV300	cshasta	cshasta	0.121442474160204	0.318549472587936	40	7	0.705151568421185	0.98756812371384
ASV329	cshasta	cshasta	0.0784049022786062	0.393183335774569	40	11	0.843004843889519	0.98756812371384
ASV369	cshasta	cshasta	0.0927311359560622	0.265912026745317	40	5	0.729217915200109	0.98756812371384
ASV395	cshasta	cshasta	-0.313008336188529	0.32523610202518	40	6	0.341931542928314	0.98756812371384
ASV407	cshasta	cshasta	0.0886432325393416	0.405390732115897	40	33	0.828084112307011	0.98756812371384
ASV412	cshasta	cshasta	0.285112234204974	0.350728003377262	40	7	0.421330620584519	0.98756812371384
ASV423	cshasta	cshasta	-0.312277600766908	0.237104781688987	40	8	0.195710931675901	0.98756812371384
ASV424	cshasta	cshasta	0.024189275750983	0.220195501424109	40	9	0.913103566091363	0.98756812371384
ASV448	cshasta	cshasta	-0.4295195331466	0.335115614172745	40	9	0.20771149671278	0.98756812371384
