feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Methylobacterium	cshasta	cshasta	0.206952924538191	0.453316011058146	40	30	0.650606862921385	0.949170788892823
Streptococcus	cshasta	cshasta	0.715981527297717	0.411085862563996	40	38	0.0896545017953717	0.949170788892823
Neisseriaceae	cshasta	cshasta	-0.293163787899233	0.401458907529828	40	9	0.469718110727732	0.949170788892823
Paucibacter	cshasta	cshasta	0.101966156720986	0.316059125832942	40	40	0.7487534890048	0.949170788892823
Rhodococcus	cshasta	cshasta	0.38745437176672	0.278896240978044	40	38	0.172846895934357	0.949170788892823
Lactobacillus	cshasta	cshasta	0.0838223261733646	0.197211268856705	40	37	0.673206081214349	0.949170788892823
Noviherbaspirillum	cshasta	cshasta	0.273214357272806	0.431932623202854	40	13	0.530822532850356	0.949170788892823
Deinococcus	cshasta	cshasta	-0.836232827612678	0.43736447087672	40	20	0.0634401295776509	0.949170788892823
Aeromonas	cshasta	cshasta	0.456518704548242	0.382424338955232	40	39	0.239975447303897	0.949170788892823
Brevibacterium	cshasta	cshasta	0.216391195062074	0.369711964984138	40	9	0.561808121573238	0.949170788892823
Luteolibacter	cshasta	cshasta	-0.324926231895886	0.320259417770526	40	6	0.316726575636515	0.949170788892823
Tychonema.CCAP.1459.11B	cshasta	cshasta	-0.441437428853956	0.336738981649967	40	5	0.197752509420823	0.949170788892823
Abiotrophia	cshasta	cshasta	-0.114494142686974	0.324742898281307	40	7	0.726359986799332	0.949170788892823
Granulicatella	cshasta	cshasta	0.159028918769506	0.359054862752679	40	7	0.660342172473842	0.949170788892823
Mobilicoccus	cshasta	cshasta	-0.339051720196233	0.303435953742552	40	7	0.270849076810818	0.949170788892823
Chroococcidiopsaceae	cshasta	cshasta	0.127301013874944	0.279455822969879	40	7	0.651319097281462	0.949170788892823
Haemophilus	cshasta	cshasta	-0.219015013567831	0.378047442012959	40	10	0.565783975790436	0.949170788892823
Klebsiella	cshasta	cshasta	0.600244843071787	0.423139414656349	40	34	0.164179912490985	0.949170788892823
Anaerococcus	cshasta	cshasta	0.122067558674843	0.38225697928411	40	10	0.751222381469404	0.949170788892823
Thermus	cshasta	cshasta	0.363055316519659	0.441009501995865	40	12	0.415509975825933	0.949170788892823
Frondihabitans	cshasta	cshasta	0.430679446412902	0.311676171056153	40	6	0.175098064081835	0.949170788892823
Hafnia.Obesumbacterium	cshasta	cshasta	-0.639135050970118	0.411210608018615	40	8	0.128408490899866	0.949170788892823
Curtobacterium	cshasta	cshasta	0.318706235570317	0.359888041805259	40	9	0.381418821141741	0.949170788892823
Citrobacter	cshasta	cshasta	0.145790680926128	0.263529650963868	40	6	0.58335108531796	0.949170788892823
Ephemeroptericola	cshasta	cshasta	0.437654469167507	0.354209301514173	40	6	0.224198494163849	0.949170788892823
Geobacillus	cshasta	cshasta	-0.202842880719713	0.475417803330505	40	26	0.672032840516525	0.949170788892823
