feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV146	epithelium_remaining	epithelium_remaining	-0.666714995453672	0.316014128063056	40	40	0.0415208240036366	0.712369294062314
ASV369	epithelium_remaining	epithelium_remaining	0.617487806729761	0.246782329983127	40	5	0.0167659579961387	0.712369294062314
ASV504	epithelium_remaining	epithelium_remaining	-0.958382712503041	0.388366500003634	40	11	0.0182145157667831	0.712369294062314
ASV653	epithelium_remaining	epithelium_remaining	0.802382946267395	0.337266950578939	40	8	0.0224833060264128	0.712369294062314
ASV723	epithelium_remaining	epithelium_remaining	-0.746795736926486	0.346593732494982	40	16	0.0375899425260933	0.712369294062314
ASV1129	epithelium_remaining	epithelium_remaining	0.691260676650111	0.329599658684045	40	7	0.042676501487604	0.712369294062314
ASV1744	epithelium_remaining	epithelium_remaining	-0.673628504212319	0.304903169746373	40	5	0.0332532692035717	0.712369294062314
ASV2031	epithelium_remaining	epithelium_remaining	-0.583785964569973	0.252724714691614	40	5	0.0264168963886702	0.712369294062314
ASV2057	epithelium_remaining	epithelium_remaining	0.784443559482957	0.366764545019403	40	8	0.0389381575388337	0.712369294062314
ASV2168	epithelium_remaining	epithelium_remaining	0.900658245097649	0.396358756197596	40	34	0.0288100180993725	0.712369294062314
ASV2440	epithelium_remaining	epithelium_remaining	-0.878388894446214	0.416456596400342	40	34	0.041572641975101	0.712369294062314
ASV2917	epithelium_remaining	epithelium_remaining	-0.946454232842985	0.307655686410217	40	8	0.00387355620185915	0.712369294062314
ASV3587	epithelium_remaining	epithelium_remaining	1.09774001879037	0.453395887462439	40	16	0.0203555259558251	0.712369294062314
ASV2314	epithelium_remaining	epithelium_remaining	-0.813333472862133	0.399143477853211	40	26	0.0485866190248605	0.753092594885338
ASV2593	epithelium_remaining	epithelium_remaining	0.561146843662575	0.281529152158617	40	6	0.0534543476407186	0.773306229202396
ASV121	epithelium_remaining	epithelium_remaining	-0.766248522710171	0.393124695210508	40	10	0.0586906472783634	0.776968685071342
ASV855	epithelium_remaining	epithelium_remaining	-0.863168791213029	0.45295010948974	40	32	0.0642805953951942	0.776968685071342
ASV2064	epithelium_remaining	epithelium_remaining	-0.797006792800117	0.424159767601795	40	17	0.0679272953939498	0.776968685071342
ASV2536	epithelium_remaining	epithelium_remaining	0.752845713673027	0.400813101056265	40	9	0.0680295162044032	0.776968685071342
ASV2613	epithelium_remaining	epithelium_remaining	-0.604210116485388	0.331876639716621	40	8	0.0765519212451432	0.80710134116856
ASV2985	epithelium_remaining	epithelium_remaining	0.320737445751828	0.177139037156093	40	7	0.078106581403409	0.80710134116856
ASV3443	epithelium_remaining	epithelium_remaining	0.498767049788177	0.282141691336356	40	6	0.0851253871887653	0.83964586454373
ASV766	epithelium_remaining	epithelium_remaining	-0.494556212419182	0.290333943279577	40	10	0.0966589484278248	0.874427864813345
ASV1788	epithelium_remaining	epithelium_remaining	0.564465440450214	0.331428374726469	40	8	0.0967109159240566	0.874427864813345
ASV1701	epithelium_remaining	epithelium_remaining	0.659802460929054	0.397472450150024	40	9	0.105146820344245	0.878816967041274
ASV3340	epithelium_remaining	epithelium_remaining	-0.650685954581191	0.392154629946006	40	28	0.105296042133978	0.878816967041274
ASV1380	epithelium_remaining	epithelium_remaining	0.720253186147862	0.459672554116456	40	37	0.125432675387535	0.893925933439643
ASV1519	epithelium_remaining	epithelium_remaining	0.793987270456312	0.50314995963181	40	24	0.122847495795243	0.893925933439643
