feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Arthrobacter	epithelium_remaining	epithelium_remaining	-1.02643306892807	0.400052324046679	40	32	0.0143636828798847	0.507516795089258
Nakamurella	epithelium_remaining	epithelium_remaining	0.7311799348219	0.271884782562537	40	5	0.0105752978512284	0.507516795089258
Iodobacter	epithelium_remaining	epithelium_remaining	1.2295049001822	0.468821923596746	40	15	0.0124894152771046	0.507516795089258
Streptococcus	epithelium_remaining	epithelium_remaining	-0.906865708347567	0.401048114243503	40	38	0.0295513929638041	0.612182275444561
Paucibacter	epithelium_remaining	epithelium_remaining	-0.651841417917554	0.298304328966703	40	40	0.0351127805736675	0.612182275444561
Ephemeroptericola	epithelium_remaining	epithelium_remaining	0.724798144441278	0.3415849203502	40	6	0.0404271313972823	0.612182275444561
Enterococcus	epithelium_remaining	epithelium_remaining	0.934195712888815	0.395553698092729	40	28	0.0234167470946853	0.612182275444561
Neisseriaceae	epithelium_remaining	epithelium_remaining	-0.732711054919004	0.386397367903566	40	9	0.0655474967770153	0.772003850929292
Corynebacterium	epithelium_remaining	epithelium_remaining	-0.751195067890668	0.388134602138855	40	40	0.0604087340454771	0.772003850929292
Flavobacterium	epithelium_remaining	epithelium_remaining	0.804656781549056	0.499072493547139	40	23	0.11517139884453	0.772790110587809
Oxalobacteraceae	epithelium_remaining	epithelium_remaining	0.69333992872022	0.40392979158589	40	7	0.0942156740240147	0.772790110587809
Akkermansia	epithelium_remaining	epithelium_remaining	0.301460392099056	0.180355873064658	40	37	0.102844373077659	0.772790110587809
Carnobacterium	epithelium_remaining	epithelium_remaining	0.767904147667534	0.46016500132683	40	37	0.103385518450766	0.772790110587809
Bacillus	epithelium_remaining	epithelium_remaining	-0.623982682668754	0.38863573916326	40	8	0.116647563862311	0.772790110587809
Lactococcus	epithelium_remaining	epithelium_remaining	0.713899711025369	0.438473533778763	40	37	0.111757743181465	0.772790110587809
Enhydrobacter	epithelium_remaining	epithelium_remaining	-0.617148486790025	0.37824349734589	40	20	0.111021457997192	0.772790110587809
Mobilicoccus	epithelium_remaining	epithelium_remaining	-0.461018744628016	0.299174572825775	40	7	0.131611455913913	0.820636136874984
Lachnospiraceae.NK4A136.group	epithelium_remaining	epithelium_remaining	-0.0824380804996005	0.108025693528467	40	37	0.450095402434322	0.843426609243885
Micrococcus	epithelium_remaining	epithelium_remaining	0.370757889387916	0.3694233864948	40	9	0.321913765067098	0.843426609243885
Lactobacillus	epithelium_remaining	epithelium_remaining	0.269861682524029	0.192771180698853	40	37	0.169652900861244	0.843426609243885
Noviherbaspirillum	epithelium_remaining	epithelium_remaining	-0.454810975736911	0.42788627113163	40	13	0.294524431556368	0.843426609243885
Deinococcus	epithelium_remaining	epithelium_remaining	0.653655748106859	0.445472881789806	40	20	0.150514755421443	0.843426609243885
Aeromonas	epithelium_remaining	epithelium_remaining	0.292627874733367	0.386625635109135	40	39	0.453791327160511	0.843426609243885
Brevundimonas	epithelium_remaining	epithelium_remaining	-0.240757479517064	0.311355578297816	40	7	0.444154792810349	0.843426609243885
Luteolibacter	epithelium_remaining	epithelium_remaining	-0.223914986210817	0.322529098345017	40	6	0.49174991431507	0.843426609243885
Arcobacter	epithelium_remaining	epithelium_remaining	-0.166613731044621	0.222835938290054	40	5	0.459245326800027	0.843426609243885
Tychonema.CCAP.1459.11B	epithelium_remaining	epithelium_remaining	-0.385319346189347	0.338547026665206	40	5	0.262180501972588	0.843426609243885
Granulicatella	epithelium_remaining	epithelium_remaining	-0.374540645975578	0.354815908207055	40	7	0.297820184903393	0.843426609243885
Chroococcidiopsaceae	epithelium_remaining	epithelium_remaining	0.396963248913517	0.272718135426196	40	7	0.15372100647563	0.843426609243885
