feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Iodobacter	hatchery	south_santiam	6.76739649307623	1.03648005773977	40	15	1.37187610707753e-07	4.36256602050653e-05
Ephemeroptericola	hatchery	south_santiam	3.99570030045912	0.729486279217832	40	6	3.47189833002084e-06	0.000383651482191713
Carnobacterium	hatchery	sandy	5.9126632542179	1.08213267647601	40	37	3.6193536055822e-06	0.000383651482191713
Serratia	hatchery	sandy	5.1644565653023	1.08255519141332	40	39	3.02202331442091e-05	0.00240250853496462
Enterococcus	hatchery	south_santiam	4.35740242940931	1.03305717849562	40	28	0.000158821148151674	0.0101010250224465
Massilia	hatchery	willamette	3.715460467495	0.896463415850046	40	39	0.000197277508901555	0.0104557079717824
Oxalobacteraceae	hatchery	south_santiam	4.30095169681137	1.05397864301454	40	7	0.000238067890864831	0.0108150841850023
Undibacterium	hatchery	south_santiam	3.71376511121894	0.93110221714404	40	8	0.00031170924041962	0.0123904423066799
Lactococcus	hatchery	sandy	4.76432977933815	1.24316697122232	40	37	0.000490170673170503	0.015587427406822
Patulibacter	hatchery	willamette	3.02215959229118	0.78392523990251	40	10	0.000459047229404859	0.015587427406822
Methylobacterium	hatchery	willamette	3.41127137305158	0.940520530202718	40	30	0.00088112162051843	0.022167714979432
Paucibacter	hatchery	sandy	-2.70114553443405	0.743721558517307	40	40	0.0008689258914607	0.022167714979432
Paucibacter	hatchery	south_santiam	-2.54690978718191	0.718503286582498	40	40	0.00111083095351036	0.022167714979432
Arthrobacter	hatchery	south_santiam	-4.07343768327044	1.14961904181942	40	32	0.00111535672852488	0.022167714979432
Comamonas	hatchery	willamette	3.01530339110725	0.836852146972009	40	16	0.000942534600344709	0.022167714979432
Chryseobacterium	hatchery	willamette	3.60228637403926	1.01527130904334	40	16	0.00110041449802638	0.022167714979432
Arthrobacter	hatchery	willamette	-3.39490542178833	0.985790195624588	40	32	0.00147192718374533	0.0275336967312362
Flavobacterium	hatchery	south_santiam	3.97427652142315	1.16907922181424	40	23	0.00166411886123265	0.0278520946248412
Rothia	hatchery	willamette	3.11432597691577	0.911020808967652	40	11	0.00157896648379362	0.0278520946248412
