feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV982	enteritis	E3	-2.11762184094108	0.576879029315202	40	8	0.00073982217046048	0.160541410989924
ASV3084	enteritis	E3	-2.27707501050806	0.669160668495377	40	12	0.00158371316987415	0.171832878931345
ASV31	enteritis	E3	-1.41814281574618	0.567992521086938	40	8	0.0169856746993462	0.370998125152093
ASV690	enteritis	E3	-1.52664483012982	0.580138975655879	40	7	0.0122147354664923	0.370998125152093
ASV964	enteritis	E3	-1.80108949337408	0.717885593832975	40	8	0.0164955723384819	0.370998125152093
ASV2031	enteritis	E3	1.43031675079466	0.508259193001017	40	5	0.00770428973937682	0.370998125152093
ASV2074	enteritis	E3	-1.18933289709161	0.430337802834078	40	38	0.00876340095396732	0.370998125152093
ASV2523	enteritis	E3	-1.70878897019323	0.597060500424165	40	8	0.00681063986391509	0.370998125152093
ASV3500	enteritis	E3	1.70088061297294	0.646336720162735	40	9	0.0122130773437892	0.370998125152093
ASV3676	enteritis	E3	-1.97089374015659	0.790234221373725	40	15	0.0170966877950273	0.370998125152093
ASV214	enteritis	E3	-1.63340333120903	0.711126445625694	40	11	0.0272252897635635	0.371452103002573
ASV247	enteritis	E3	-1.92020435019282	0.809305993215566	40	17	0.0228249773878785	0.371452103002573
ASV460	enteritis	E3	-1.13338385030537	0.493991705026805	40	5	0.0273881734932773	0.371452103002573
ASV2489	enteritis	E3	-1.06990631957507	0.444535795912981	40	7	0.0210600863160504	0.371452103002573
ASV2595	enteritis	E3	1.62954799410936	0.667931394703354	40	8	0.0194772008788148	0.371452103002573
ASV3060	enteritis	E3	1.24295863905337	0.540245430360643	40	5	0.026987171228837	0.371452103002573
ASV3587	enteritis	E3	-2.02656548568865	0.953327271568415	40	16	0.0400790206249476	0.511596910330213
ASV424	enteritis	E3	0.823917339495388	0.435888955308079	40	9	0.0663762444265955	0.537938156389698
ASV1090	enteritis	E3	0.989955165675888	0.524610463629673	40	7	0.0668132608328839	0.537938156389698
ASV1835	enteritis	E3	1.87828392063072	0.907371561982776	40	39	0.0452961882073691	0.537938156389698
ASV2168	enteritis	E3	-1.62666198296001	0.833751496277036	40	34	0.058457145468535	0.537938156389698
ASV2424	enteritis	E3	0.341098207292716	0.178002629520647	40	40	0.0628775266076761	0.537938156389698
ASV2695	enteritis	E3	1.26255162602438	0.631153394721772	40	6	0.0526414106281275	0.537938156389698
ASV3040	enteritis	E3	1.79681332380998	0.908775841162566	40	37	0.0553094485801268	0.537938156389698
ASV3119	enteritis	E3	-1.1517912404462	0.603303586871562	40	7	0.0638166846386369	0.537938156389698
ASV3515	enteritis	E3	-1.39904329061598	0.741738579777371	40	15	0.0669323973388104	0.537938156389698
ASV3579	enteritis	E3	0.626624897400331	0.32709683693491	40	35	0.0629480057802301	0.537938156389698
ASV82	enteritis	E3	-1.6138853754885	0.875972264068951	40	33	0.0732306122704707	0.547966995265247
ASV3558	enteritis	E3	0.553512128250029	0.298355712980977	40	11	0.0713365047577153	0.547966995265247
