feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Frondihabitans	enteritis	E3	-2.08770199397278	0.56793044305065	40	6	0.000728906970881003	0.0685622601756223
Patulibacter	enteritis	E3	-2.24715516353976	0.646682973626859	40	10	0.00129362755048344	0.0685622601756223
Chryseobacterium	enteritis	E3	-2.63621410576085	0.803396058742553	40	16	0.00221941841191206	0.078419450554226
Methylorubrum	enteritis	E3	-1.15941305012331	0.411594953869529	40	32	0.00765049548028775	0.202738130227625
Pseudomonas	enteritis	E3	-2.12261249736189	0.811674077496766	40	37	0.0127213360578633	0.269692324426703
Caldicellulosiruptor	enteritis	E3	1.8697295775698	0.835095883453851	40	8	0.0310936929704768	0.54932190914509
Methylobacterium	enteritis	E3	-1.63981180612557	0.902641838515312	40	30	0.077160119562043	0.559714332187632
Dermacoccus	enteritis	E3	-1.63661448287847	0.777381781277894	40	12	0.0419314874836657	0.559714332187632
Noviherbaspirillum	enteritis	E3	-1.59109445406886	0.861026038884076	40	13	0.0724107808961795	0.559714332187632
Anaerococcus	enteritis	E3	-1.37177783932987	0.76051982505463	40	10	0.0792048583284385	0.559714332187632
Flavobacterium	enteritis	E3	-1.98420541836592	1.0182697646845	40	23	0.0587547758501566	0.559714332187632
Serratia	enteritis	E3	1.82942084329677	0.903699162839748	40	39	0.0500026747225083	0.559714332187632
Enterococcus	enteritis	E3	-1.59674213599171	0.837787232223366	40	28	0.0642479306160186	0.559714332187632
Comamonas	enteritis	E3	-1.42821235958688	0.769456303863267	40	16	0.0712016969096225	0.559714332187632
Lactococcus	enteritis	E3	1.66874858769182	0.898979865413575	40	37	0.071181666465626	0.559714332187632
Arcobacter	enteritis	E3	0.761651185047465	0.447968226569054	40	5	0.0972588673055963	0.57033110638269
Abiotrophia	enteritis	E3	-1.0881913916444	0.649829956674234	40	7	0.102229160578029	0.57033110638269
Thermus	enteritis	E3	1.54665178353541	0.886250967694592	40	12	0.089039565990523	0.57033110638269
Iodobacter	enteritis	E3	-1.75118323753859	1.01575766261779	40	15	0.0928326701886025	0.57033110638269
Blastococcus	enteritis	E3	-1.15590304710644	0.717010865322518	40	7	0.115213000765511	0.610628904057208
Mobilicoccus	enteritis	E3	0.951008804484322	0.619487445158385	40	7	0.133031048577902	0.640967779511711
Faecalibacterium	enteritis	E3	0.533090525778271	0.34176164765158	40	36	0.127090328570579	0.640967779511711
Micrococcus	enteritis	E3	-0.967993417553718	0.758770056055541	40	9	0.209790886804696	0.655528517898933
Veillonella	enteritis	E3	-0.955956560433207	0.750129043962127	40	17	0.210263864231733	0.655528517898933
Citrobacter	enteritis	E3	0.702036841896819	0.535780778365784	40	6	0.197957543021418	0.655528517898933
Geobacillus	enteritis	E3	1.39193336358954	0.960375059120272	40	26	0.155439074172461	0.655528517898933
Psychrobacter	enteritis	E3	1.04263691854924	0.74839269511484	40	5	0.171665636208454	0.655528517898933
Oxalobacteraceae	enteritis	E3	-1.13789626817031	0.848172576796393	40	7	0.187693164704932	0.655528517898933
