feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV1753	es	es	1.45167856280898	0.312192717958526	40	13	3.93733623087521e-05	0.0085440196209992
ASV2011	es	es	1.51581379573184	0.373615867993978	40	32	0.000238259639648438	0.0258511709018556
ASV2593	es	es	0.92135753954343	0.255353999796291	40	6	0.000885726515636323	0.0394172960709942
ASV2778	es	es	1.17330853948205	0.323590675521374	40	14	0.000841810811584705	0.0394172960709942
ASV3119	es	es	0.948282302557127	0.263456427438093	40	7	0.000908232628363921	0.0394172960709942
ASV1806	es	es	0.890580716609621	0.254958762629506	40	5	0.00122900710323686	0.040161130389723
ASV1825	es	es	1.01938591381016	0.29340112007474	40	8	0.00129552033515236	0.040161130389723
ASV118	es	es	1.23027879870604	0.391574425835097	40	35	0.00324747470792268	0.0725827099905777
ASV636	es	es	1.00637878235994	0.322700493320047	40	22	0.00345785080533259	0.0725827099905777
ASV997	es	es	1.07753900740996	0.33938186407303	40	15	0.00296870378692487	0.0725827099905777
ASV3022	es	es	1.08907188121213	0.353957137108811	40	26	0.00386832900051261	0.0725827099905777
ASV3641	es	es	0.897569764481568	0.293031841291152	40	5	0.0040137904142255	0.0725827099905777
ASV1094	es	es	-0.701199926250287	0.231895010657847	40	11	0.00445633873699163	0.0743865773790142
ASV82	es	es	1.17446581580239	0.398418335460056	40	33	0.00544594825200217	0.0787847180456314
ASV1241	es	es	1.08276428110111	0.364130112740459	40	15	0.0050894861296088	0.0787847180456314
ASV1906	es	es	1.02476149033618	0.367117081301511	40	40	0.00816689135565665	0.0984564124543052
ASV2370	es	es	0.612893057481301	0.218024088694877	40	16	0.00776425838649832	0.0984564124543052
ASV3336	es	es	0.979405157835169	0.347873296894477	40	33	0.00767943344849393	0.0984564124543052
ASV193	es	es	1.11768832703881	0.413862836342707	40	37	0.0102788664575957	0.109034985831921
ASV589	es	es	0.708052926924186	0.261559054644473	40	5	0.0101141693535809	0.109034985831921
ASV1070	es	es	0.844458588390097	0.313903116655543	40	12	0.0105517728224439	0.109034985831921
ASV982	es	es	0.794457535373534	0.297618260160933	40	8	0.0111158849080018	0.109643046592563
ASV1417	es	es	0.974536455739629	0.371017646418412	40	39	0.012362719632469	0.116639572184599
ASV2057	es	es	-0.9276781475958	0.357858460290353	40	8	0.0134572622001536	0.121676079059722
ASV1040	es	es	0.821442534992904	0.326768731853325	40	14	0.016298968192417	0.136033696067481
ASV2899	es	es	0.911033035395277	0.362110712379889	40	19	0.0162177691980931	0.136033696067481
ASV3084	es	es	0.840815983578437	0.343095767852179	40	12	0.0189734335248133	0.152490187958684
ASV1491	es	es	0.660666381092461	0.273386861432976	40	6	0.020576586383436	0.159468544471629
ASV369	es	es	0.589565048678346	0.248572871012499	40	5	0.0228708932453268	0.171137373594342
ASV1414	es	es	-0.480783203013686	0.206542058985216	40	7	0.0253481893806504	0.183351903186704
ASV2711	es	es	0.935173511905712	0.409413186167545	40	39	0.0280364355718099	0.196255049002669
ASV154	es	es	0.859949435709132	0.390235974659592	40	18	0.0336803624998693	0.215887801919783
ASV1390	es	es	-0.538331371564067	0.244939954569767	40	10	0.0341278018516869	0.215887801919783
ASV2074	es	es	0.468863506157	0.214736283977436	40	38	0.0352483646682728	0.215887801919783
ASV2196	es	es	0.921832526461041	0.423574100904129	40	27	0.0358154878760931	0.215887801919783
ASV2461	es	es	-0.408831427469423	0.185179502323175	40	5	0.0333707699018175	0.215887801919783
ASV1436	es	es	-0.191637717430507	0.0887311217615953	40	40	0.0371662050647092	0.217974770244376
ASV2031	es	es	-0.547072644167579	0.254877125619735	40	5	0.0382867917648011	0.218637731920048
ASV247	es	es	0.842091695081927	0.395989109423889	40	17	0.0400107365864293	0.222623842032184
ASV690	es	es	0.608856032423535	0.28824731778692	40	7	0.0412922608754645	0.224010515249395
ASV2314	es	es	-0.832028139574186	0.398128190071313	40	26	0.0433767524683029	0.224113221086231
ASV2595	es	es	-0.688003182939775	0.328551766115074	40	8	0.0429795269792326	0.224113221086231
ASV585	es	es	0.655727345269005	0.315643082123522	40	7	0.0445705487203677	0.22492579237953
ASV407	es	es	0.777493272249947	0.385539416045155	40	33	0.0508405440671671	0.247909233492895
ASV2628	es	es	0.828638771796915	0.411961299224567	40	40	0.051409748881015	0.247909233492895
