feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Massilia	es	es	1.1897241190448	0.365912130274179	40	39	0.00240989720795669	0.070447878910769
Citrobacter	es	es	-0.754336987250657	0.23459090685039	40	6	0.00265841052493468	0.070447878910769
Sphingobacterium	es	es	0.837443655609251	0.254452819133422	40	5	0.00216015848873201	0.070447878910769
Lawsonella	es	es	0.96624885280979	0.290603734810029	40	8	0.0019673616019519	0.070447878910769
Curtobacterium	es	es	0.993322408148329	0.325924658640205	40	9	0.00418151150337817	0.0738733698930144
Dolosigranulum	es	es	0.943185010534699	0.307925317050539	40	9	0.00401393469876735	0.0738733698930144
Rhodococcus	es	es	0.7216003382714	0.260827233846655	40	38	0.00869979316003013	0.0934322966971997
Actinomyces	es	es	0.83629686312298	0.294913890443275	40	9	0.0072884824690402	0.0934322966971997
Bacteroides	es	es	-0.249112558778551	0.0876264730461705	40	40	0.00715525205135524	0.0934322966971997
Comamonas	es	es	0.978229875456576	0.354246521949364	40	16	0.00881436761294337	0.0934322966971997
Methylobacterium	es	es	1.11526112877474	0.417002068375611	40	30	0.0109753652560741	0.096949059761988
Pedobacter	es	es	0.985019226098988	0.364151198401548	40	33	0.0101671032076267	0.096949059761988
Acinetobacter	es	es	0.964866377273706	0.367477562000449	40	39	0.012393722364579	0.10105650543426
Plesiomonas	es	es	0.559755996480931	0.216141303190936	40	9	0.0135414875627111	0.102528405831955
Actinomycetospora	es	es	0.654915865923816	0.263796610431298	40	5	0.0175730105298201	0.109572889185937
Frondihabitans	es	es	0.741320474373163	0.295907439866546	40	6	0.0166412768666981	0.109572889185937
Segatella	es	es	-0.244774778430877	0.097369474162856	40	38	0.016297335347525	0.109572889185937
Lautropia	es	es	0.857895974394907	0.355490053030596	40	12	0.0207392645672711	0.12213122467393
Patulibacter	es	es	0.787678922578067	0.335051319373317	40	10	0.0240171562964937	0.133990450917281
Klebsiella	es	es	0.940960289191554	0.406482738895389	40	34	0.0261178721887525	0.134447184279945
Staphylococcus	es	es	0.823803897066718	0.357181509821194	40	39	0.0266357629233854	0.134447184279945
Paracoccus	es	es	-0.783323496876029	0.346640548603654	40	5	0.0296517262108775	0.142608627207561
Chryseobacterium	es	es	0.925955080746176	0.413175570949018	40	16	0.0309433813752255	0.142608627207561
Dermacoccus	es	es	0.803857389878956	0.374767430886336	40	12	0.0384118421311052	0.166428863373103
Caldicellulosiruptor	es	es	-0.865896900408553	0.40553445716618	40	8	0.0392520904181847	0.166428863373103
Hafnia.Obesumbacterium	es	es	-0.837127941997611	0.4017490922825	40	8	0.0439636584735437	0.179236453776755
Streptococcus	es	es	0.83367155140672	0.40520630142026	40	38	0.0465573363496693	0.18278065381722
Methylorubrum	es	es	0.41572644515663	0.207930454042796	40	32	0.0527579239636331	0.199726426433754
Nakamurella	es	es	0.558873171761948	0.282437492132324	40	5	0.0551253256363477	0.20149256956734
Abiotrophia	es	es	0.602590284268635	0.310237428491729	40	7	0.0595329388428293	0.203564242494836
Kocuria	es	es	0.797655039206053	0.408542754079583	40	39	0.0582819085902971	0.203564242494836
Corynebacterium	es	es	0.740563188636991	0.388671896198878	40	40	0.0643195444661936	0.213058491044266
Ephemeroptericola	es	es	-0.642835237881218	0.34587589057685	40	6	0.070846396353466	0.227567212529315
Sphingomonas	es	es	0.684039413133625	0.394533950534224	40	30	0.0910629106022068	0.28390201540688
Chroococcidiopsaceae	es	es	0.44504806664399	0.2707576568484	40	7	0.10848514147534	0.310795270172595
Pseudomonas	es	es	0.67711559644295	0.411489122576545	40	37	0.108109521854025	0.310795270172595
Faecalibacterium	es	es	-0.270593928284761	0.164534800542913	40	36	0.108301204707916	0.310795270172595
Roseomonas	es	es	-0.530816619729824	0.329936654073876	40	7	0.115928215140703	0.313126462036142
Rothia	es	es	0.619192607574237	0.38729992038168	40	11	0.118160929070242	0.313126462036142
Muribaculaceae	es	es	-0.151715789302375	0.0933813184860556	40	40	0.112495383044166	0.313126462036142
Noviherbaspirillum	es	es	0.65986869102251	0.42079872214167	40	13	0.125140533767323	0.315830870936577
Alistipes	es	es	-0.163045111553688	0.103156580467053	40	40	0.122267780885987	0.315830870936577
Agathobacter	es	es	-0.236249746146789	0.158142742919163	40	35	0.143459205111553	0.353643621902898
Luteolibacter	es	es	-0.455857257672081	0.316031428079424	40	6	0.157369839049848	0.377069787399935
Knoellia	es	es	-0.425480721994586	0.296947046557187	40	5	0.160076796537708	0.377069787399935
Paucibacter	es	es	0.435631592464334	0.308501058243097	40	40	0.166060348297107	0.382660802597682
Tychonema.CCAP.1459.11B	es	es	-0.452294197799904	0.336359626981954	40	5	0.186702184778695	0.421073012479609
Bifidobacterium	es	es	-0.176721796155408	0.134832012077228	40	36	0.197831953652635	0.436878897649568
Brevundimonas	es	es	0.386325327677112	0.307473754051119	40	7	0.216622312310868	0.453834848740427
Mobilicoccus	es	es	-0.379697309582581	0.302166492402109	40	7	0.216574528420833	0.453834848740427
Clostridium	es	es	-0.231950497267582	0.187168839957696	40	37	0.222849615612325	0.453834848740427
Cloacibacterium	es	es	0.365180039740858	0.297324525590427	40	5	0.226917424370214	0.453834848740427
Lactococcus	es	es	0.550475472791601	0.44463092514394	40	37	0.22329204769825	0.453834848740427
Arcobacter	es	es	-0.265448902900485	0.22030000598936	40	5	0.235676071095405	0.462623398816906
Geobacillus	es	es	-0.53753633381864	0.468509373539335	40	26	0.25841649248708	0.498039058247827
Veillonella	es	es	0.410637385630514	0.363963044820289	40	17	0.266292004596387	0.504052722986018
Lachnospiraceae.NK4A136.group	es	es	-0.117818675178983	0.107159216817923	40	37	0.278478759318436	0.515845531933691
Lachnoclostridium	es	es	-0.125115452083125	0.114706855459227	40	29	0.282255102378812	0.515845531933691
Oxalobacteraceae	es	es	-0.435409430924295	0.413304761786452	40	7	0.298772606510131	0.518670847901682
Carnobacterium	es	es	-0.496972630253023	0.469861806831961	40	37	0.296870160946579	0.518670847901682
Mycobacterium	es	es	0.379057253754125	0.352370844242518	40	6	0.2888290580653	0.518670847901682
Blautia	es	es	-0.19662068296014	0.18844931467654	40	23	0.303373514810418	0.518670847901682
Akkermansia	es	es	-0.181594535975614	0.184531765099434	40	37	0.331299345620523	0.54027277901193
Bacillus	es	es	-0.3917975209449	0.396540404974566	40	8	0.329383180531857	0.54027277901193
Turicibacter	es	es	-0.138853696587153	0.1408880929669	40	39	0.330582962789065	0.54027277901193
Escherichia.Shigella	es	es	0.19813211560728	0.208356149636932	40	8	0.34764932373526	0.550641388121724
Bradyrhizobium	es	es	0.358559575520291	0.377376766111986	40	35	0.348046915133542	0.550641388121724
