feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Massilia	es	es	1.1897241190448	0.365912130274179	40	39	0.00240989720795669	0.070447878910769
Citrobacter	es	es	-0.754336987250657	0.23459090685039	40	6	0.00265841052493468	0.070447878910769
Sphingobacterium	es	es	0.837443655609251	0.254452819133422	40	5	0.00216015848873201	0.070447878910769
Lawsonella	es	es	0.96624885280979	0.290603734810029	40	8	0.0019673616019519	0.070447878910769
Curtobacterium	es	es	0.993322408148329	0.325924658640205	40	9	0.00418151150337817	0.0738733698930144
Dolosigranulum	es	es	0.943185010534699	0.307925317050539	40	9	0.00401393469876735	0.0738733698930144
Rhodococcus	es	es	0.7216003382714	0.260827233846655	40	38	0.00869979316003013	0.0934322966971997
Actinomyces	es	es	0.83629686312298	0.294913890443275	40	9	0.0072884824690402	0.0934322966971997
Bacteroides	es	es	-0.249112558778551	0.0876264730461705	40	40	0.00715525205135524	0.0934322966971997
Comamonas	es	es	0.978229875456576	0.354246521949364	40	16	0.00881436761294337	0.0934322966971997
Methylobacterium	es	es	1.11526112877474	0.417002068375611	40	30	0.0109753652560741	0.096949059761988
Pedobacter	es	es	0.985019226098988	0.364151198401548	40	33	0.0101671032076267	0.096949059761988
Acinetobacter	es	es	0.964866377273706	0.367477562000449	40	39	0.012393722364579	0.10105650543426
Plesiomonas	es	es	0.559755996480931	0.216141303190936	40	9	0.0135414875627111	0.102528405831955
Actinomycetospora	es	es	0.654915865923816	0.263796610431298	40	5	0.0175730105298201	0.109572889185937
Frondihabitans	es	es	0.741320474373163	0.295907439866546	40	6	0.0166412768666981	0.109572889185937
Segatella	es	es	-0.244774778430877	0.097369474162856	40	38	0.016297335347525	0.109572889185937
Lautropia	es	es	0.857895974394907	0.355490053030596	40	12	0.0207392645672711	0.12213122467393
Patulibacter	es	es	0.787678922578067	0.335051319373317	40	10	0.0240171562964937	0.133990450917281
Klebsiella	es	es	0.940960289191554	0.406482738895389	40	34	0.0261178721887525	0.134447184279945
Staphylococcus	es	es	0.823803897066718	0.357181509821194	40	39	0.0266357629233854	0.134447184279945
Paracoccus	es	es	-0.783323496876029	0.346640548603654	40	5	0.0296517262108775	0.142608627207561
Chryseobacterium	es	es	0.925955080746176	0.413175570949018	40	16	0.0309433813752255	0.142608627207561
Dermacoccus	es	es	0.803857389878956	0.374767430886336	40	12	0.0384118421311052	0.166428863373103
Caldicellulosiruptor	es	es	-0.865896900408553	0.40553445716618	40	8	0.0392520904181847	0.166428863373103
Hafnia.Obesumbacterium	es	es	-0.837127941997611	0.4017490922825	40	8	0.0439636584735437	0.179236453776755
Streptococcus	es	es	0.83367155140672	0.40520630142026	40	38	0.0465573363496693	0.18278065381722
Methylorubrum	es	es	0.41572644515663	0.207930454042796	40	32	0.0527579239636331	0.199726426433754
Nakamurella	es	es	0.558873171761948	0.282437492132324	40	5	0.0551253256363477	0.20149256956734
Abiotrophia	es	es	0.602590284268635	0.310237428491729	40	7	0.0595329388428293	0.203564242494836
Kocuria	es	es	0.797655039206053	0.408542754079583	40	39	0.0582819085902971	0.203564242494836
Corynebacterium	es	es	0.740563188636991	0.388671896198878	40	40	0.0643195444661936	0.213058491044266
Ephemeroptericola	es	es	-0.642835237881218	0.34587589057685	40	6	0.070846396353466	0.227567212529315
