genus_label,Domain,Phylum,Class,Order,Family,Genus
Lachnospiraceae NK4A136 group,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
Methylobacterium,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylobacterium
Thermomonas,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Thermomonas
Streptococcus,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Neisseriaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,NA
Paucibacter,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Paucibacter
Rhodococcus,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Nocardiaceae,Rhodococcus
Micrococcus,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus
Massilia,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
Dermacoccus,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Dermacoccaceae,Dermacoccus
Lactobacillus,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Actinomyces,Bacteria,Actinomycetota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
Noviherbaspirillum,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum
Deinococcus,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus
Aeromonas,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas
Brevundimonas,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Brevibacterium,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium
Klenkia,Bacteria,Actinomycetota,Actinobacteria,Frankiales,Geodermatophilaceae,Klenkia
Monoglobus,Bacteria,Bacillota,Clostridia,Monoglobales,Monoglobaceae,Monoglobus
Luteolibacter,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Rubritaleaceae,Luteolibacter
Arcobacter,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
Tychonema CCAP 1459-11B,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Tychonema CCAP 1459-11B
Nocardia,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Nocardiaceae,Nocardia
Tateyamaria,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Tateyamaria
Porphyromonas,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas
Agathobacter,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter
Veillonella,Bacteria,Bacillota,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella
Abiotrophia,Bacteria,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia
Actinomycetospora,Bacteria,Actinomycetota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora
Granulicatella,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella
Micrococcaceae,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,NA
Anoxybacillus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Anoxybacillus
Mobilicoccus,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Dermatophilaceae,Mobilicoccus
Chroococcidiopsaceae,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsaceae,NA
Collinsella,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella
Haemophilus,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus
Klebsiella,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
Photobacterium,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Photobacterium
Sphingopyxis,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis
Anaerococcus,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Anaerococcus
Thermus,Bacteria,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus
Frondihabitans,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Microbacteriaceae,Frondihabitans
Dermacoccaceae,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Dermacoccaceae,NA
Corticibacterium,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Corticibacterium
Hafnia-Obesumbacterium,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Hafnia-Obesumbacterium
Curtobacterium,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Microbacteriaceae,Curtobacterium
Leptotrichiaceae,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,NA
Phreatobacter,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiales Incertae Sedis,Phreatobacter
Citrobacter,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter
Ephemeroptericola,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ephemeroptericola
Geobacillus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Geobacillus
Dietzia,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Dietziaceae,Dietzia
Pseudomonas,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Tetragenococcus,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus
Bifidobacterium,Bacteria,Actinomycetota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
Psychrobacter,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter
Lachnoclostridium,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium
Rubellimicrobium,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rubellimicrobium
Exiguobacterium,Bacteria,Bacillota,Bacilli,Exiguobacterales,Exiguobacteraceae,Exiguobacterium
Hymenobacter,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter
Coprococcus,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus
Staphylococcus,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus
Sphingoaurantiacus,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingoaurantiacus
Segatella,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella
Anaerovorax,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Anaerovorax
Parasutterella,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella
Ammoniphilus,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Ammoniphilus
Flavobacterium,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Tepidiphilus,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Hydrogenophilaceae,Tepidiphilus
env.OPS 17,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,NA
Marisediminicola,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Microbacteriaceae,Marisediminicola
Clostridium,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium
Truepera,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera
Frigoribacterium,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Microbacteriaceae,Frigoribacterium
Cetobacterium,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium
Zoogloea,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Zoogloea
Oxalobacteraceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,NA
Rathayibacter,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Microbacteriaceae,Rathayibacter
Akkermansia,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia
Caldimonas,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Caldimonas
Methyloversatilis,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Methyloversatilis
Peptoniphilus,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Peptoniphilus
Sphingobacterium,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
Malacoplasma,Bacteria,Bacillota,Bacilli,Mycoplasmatales,Mycoplasmataceae,Malacoplasma
Lawsonella,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Lawsonella
Carnobacterium,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
Serratia,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia
Paracoccaceae,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA
Gemella,Bacteria,Bacillota,Bacilli,Staphylococcales,Gemellaceae,Gemella
Cloacibacterium,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium
Acidovorax,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
Pedobacter,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
Allomeiothermus,Bacteria,Deinococcota,Deinococci,Thermales,Thermaceae,Allomeiothermus
Mycobacterium,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium
Parageobacillus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Parageobacillus
Paraclostridium,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Paraclostridium
Vibrio,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio
Methylorubrum,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylorubrum
Pseudoleptotrichia,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Pseudoleptotrichia
