feature,metadata,value,coef,stderr,pval,name,qval,N,N.not.zero,model
ASV31,cshasta,cshasta,0.12842539545105258,0.2952828482282974,0.66607822028616,cshasta,0.9875681237138398,40,8,A_asv_cshasta
ASV39,cshasta,cshasta,0.010560047576711456,0.10247808816688203,0.9184676690020921,cshasta,0.9875681237138398,40,39,A_asv_cshasta
ASV82,cshasta,cshasta,0.3752552182058743,0.4374136286131115,0.3963289503993892,cshasta,0.9875681237138398,40,33,A_asv_cshasta
ASV85,cshasta,cshasta,0.013124408555674996,0.10015483456082598,0.8964340389991048,cshasta,0.9875681237138398,40,18,A_asv_cshasta
ASV107,cshasta,cshasta,-0.2542192614466798,0.3666524972517423,0.49230514034040607,cshasta,0.9875681237138398,40,11,A_asv_cshasta
ASV118,cshasta,cshasta,0.2522401317936536,0.4375927274738936,0.5677257054746241,cshasta,0.9875681237138398,40,35,A_asv_cshasta
ASV121,cshasta,cshasta,-0.2812458921918771,0.40977607922807213,0.4966653005694236,cshasta,0.9875681237138398,40,10,A_asv_cshasta
ASV140,cshasta,cshasta,0.0934123893331521,0.16567264645082783,0.576177696393525,cshasta,0.9875681237138398,40,37,A_asv_cshasta
ASV146,cshasta,cshasta,0.128109867921408,0.33336261488257396,0.7029013879608503,cshasta,0.9875681237138398,40,40,A_asv_cshasta
ASV154,cshasta,cshasta,0.5725481384955382,0.40387915291274323,0.1644491889917352,cshasta,0.9875681237138398,40,18,A_asv_cshasta
ASV164,cshasta,cshasta,-0.01649278734630623,0.13342980098817048,0.9022783632985818,cshasta,0.9875681237138398,40,30,A_asv_cshasta
ASV170,cshasta,cshasta,0.08536200353009483,0.15058974011351575,0.5741484624869164,cshasta,0.9875681237138398,40,37,A_asv_cshasta
ASV173,cshasta,cshasta,0.11703721621047228,0.3768388706027958,0.7578199294960071,cshasta,0.9875681237138398,40,9,A_asv_cshasta
ASV191,cshasta,cshasta,-0.06193433037469306,0.3740978263558829,0.8693836419951421,cshasta,0.9875681237138398,40,11,A_asv_cshasta
ASV193,cshasta,cshasta,-0.26602546903017915,0.44977159828891966,0.5577093945291667,cshasta,0.9875681237138398,40,37,A_asv_cshasta
ASV214,cshasta,cshasta,-0.10797929954998316,0.3661591517007996,0.7696776140129159,cshasta,0.9875681237138398,40,11,A_asv_cshasta
ASV219,cshasta,cshasta,0.09574022188072091,0.19792549815138974,0.6313615837428062,cshasta,0.9875681237138398,40,37,A_asv_cshasta
ASV247,cshasta,cshasta,0.19520106582550326,0.4176908706005232,0.6429299486491253,cshasta,0.9875681237138398,40,17,A_asv_cshasta
ASV255,cshasta,cshasta,0.17246145312835773,0.28885324573663007,0.5540113107652485,cshasta,0.9875681237138398,40,20,A_asv_cshasta
ASV260,cshasta,cshasta,-0.43447743490547813,0.4107741824805293,0.2968682328582978,cshasta,0.9875681237138398,40,14,A_asv_cshasta
ASV261,cshasta,cshasta,-0.49097652573367356,0.38962407741333666,0.21530673635936842,cshasta,0.9875681237138398,40,35,A_asv_cshasta
ASV286,cshasta,cshasta,0.07647874436584823,0.34161105968074845,0.8240525849100577,cshasta,0.9875681237138398,40,6,A_asv_cshasta
ASV300,cshasta,cshasta,0.12144247416020403,0.3185494725879356,0.7051515684211853,cshasta,0.9875681237138398,40,7,A_asv_cshasta
ASV329,cshasta,cshasta,0.07840490227860618,0.3931833357745692,0.8430048438895186,cshasta,0.9875681237138398,40,11,A_asv_cshasta
ASV369,cshasta,cshasta,0.09273113595606217,0.26591202674531655,0.7292179152001086,cshasta,0.9875681237138398,40,5,A_asv_cshasta
ASV395,cshasta,cshasta,-0.31300833618852925,0.32523610202517983,0.3419315429283143,cshasta,0.9875681237138398,40,6,A_asv_cshasta
ASV407,cshasta,cshasta,0.08864323253934157,0.4053907321158967,0.8280841123070111,cshasta,0.9875681237138398,40,33,A_asv_cshasta
ASV412,cshasta,cshasta,0.28511223420497406,0.3507280033772617,0.42133062058451887,cshasta,0.9875681237138398,40,7,A_asv_cshasta
ASV423,cshasta,cshasta,-0.31227760076690836,0.2371047816889871,0.19571093167590073,cshasta,0.9875681237138398,40,8,A_asv_cshasta
ASV424,cshasta,cshasta,0.024189275750983015,0.22019550142410868,0.9131035660913627,cshasta,0.9875681237138398,40,9,A_asv_cshasta
ASV448,cshasta,cshasta,-0.42951953314659985,0.33511561417274477,0.2077114967127804,cshasta,0.9875681237138398,40,9,A_asv_cshasta
ASV460,cshasta,cshasta,-0.08479022983487461,0.2542405740212299,0.740587262907366,cshasta,0.9875681237138398,40,5,A_asv_cshasta
ASV491,cshasta,cshasta,-0.24671610405573088,0.3755232200882229,0.5151450984386641,cshasta,0.9875681237138398,40,10,A_asv_cshasta
ASV504,cshasta,cshasta,-0.21255053187205866,0.41690602725624865,0.61312016791428,cshasta,0.9875681237138398,40,11,A_asv_cshasta
ASV527,cshasta,cshasta,-0.24776760398954856,0.3189301795990264,0.44204425257919344,cshasta,0.9875681237138398,40,6,A_asv_cshasta
ASV529,cshasta,cshasta,1.028474466954215,0.5414670902636174,0.06511923596482523,cshasta,0.9875681237138398,40,24,A_asv_cshasta
ASV538,cshasta,cshasta,0.15566550755084527,0.26356673732282165,0.5582773901198729,cshasta,0.9875681237138398,40,5,A_asv_cshasta
ASV585,cshasta,cshasta,-0.10257624697961767,0.33266933029035617,0.7595053907468536,cshasta,0.9875681237138398,40,7,A_asv_cshasta
ASV589,cshasta,cshasta,-0.04952971448409467,0.2855550937364859,0.8632178938058017,cshasta,0.9875681237138398,40,5,A_asv_cshasta
ASV611,cshasta,cshasta,0.3371670830820058,0.2941699489548886,0.25889373677348587,cshasta,0.9875681237138398,40,6,A_asv_cshasta
ASV619,cshasta,cshasta,0.0675808411762524,0.10863545094758108,0.5375987966011682,cshasta,0.9875681237138398,40,37,A_asv_cshasta
ASV634,cshasta,cshasta,0.21976773700560742,0.4459282408206698,0.62496711930807,cshasta,0.9875681237138398,40,34,A_asv_cshasta
ASV636,cshasta,cshasta,0.2748469437573385,0.3588875549554994,0.44850837385598086,cshasta,0.9875681237138398,40,22,A_asv_cshasta
ASV653,cshasta,cshasta,-0.33390726817059296,0.35743185493073604,0.35610735093112855,cshasta,0.9875681237138398,40,8,A_asv_cshasta
ASV662,cshasta,cshasta,0.41646630325453426,0.34602071549525804,0.23619348074506047,cshasta,0.9875681237138398,40,6,A_asv_cshasta
ASV690,cshasta,cshasta,0.16904427677172315,0.3034632257587611,0.5807595153684797,cshasta,0.9875681237138398,40,7,A_asv_cshasta
ASV723,cshasta,cshasta,0.39021837054747227,0.36165801239646633,0.2874021663661832,cshasta,0.9875681237138398,40,16,A_asv_cshasta
ASV766,cshasta,cshasta,-0.32713382448887646,0.29650302455579447,0.27683214625736025,cshasta,0.9875681237138398,40,10,A_asv_cshasta
ASV768,cshasta,cshasta,0.1392189095823003,0.2835492157746519,0.6262595194109409,cshasta,0.9875681237138398,40,12,A_asv_cshasta
ASV829,cshasta,cshasta,-0.13526606441871805,0.34078034794637585,0.6936394200477987,cshasta,0.9875681237138398,40,19,A_asv_cshasta
ASV848,cshasta,cshasta,0.04067753877445486,0.1351148891261277,0.7650108133054875,cshasta,0.9875681237138398,40,34,A_asv_cshasta
ASV855,cshasta,cshasta,0.2861288469134671,0.4718221985916132,0.5478328907231353,cshasta,0.9875681237138398,40,32,A_asv_cshasta
ASV873,cshasta,cshasta,-0.09287389565564012,0.28883126524425434,0.749555196630975,cshasta,0.9875681237138398,40,8,A_asv_cshasta
ASV881,cshasta,cshasta,-0.27665173761818973,0.2896197724212099,0.34550208065705235,cshasta,0.9875681237138398,40,11,A_asv_cshasta
ASV892,cshasta,cshasta,0.1485021596222083,0.32620845470038595,0.6515292395538929,cshasta,0.9875681237138398,40,6,A_asv_cshasta
ASV895,cshasta,cshasta,-0.23408485783546,0.44118878481584356,0.5987988666922714,cshasta,0.9875681237138398,40,11,A_asv_cshasta
ASV946,cshasta,cshasta,0.13398545438219953,0.39036413235150935,0.7333156640671223,cshasta,0.9875681237138398,40,16,A_asv_cshasta
ASV960,cshasta,cshasta,0.3749732122270149,0.4424669032300492,0.4020447417258506,cshasta,0.9875681237138398,40,13,A_asv_cshasta
ASV964,cshasta,cshasta,-0.06037043543711519,0.37426397116664734,0.8727082015226766,cshasta,0.9875681237138398,40,8,A_asv_cshasta
ASV982,cshasta,cshasta,0.4425973421202579,0.3162769548299098,0.16980421875640778,cshasta,0.9875681237138398,40,8,A_asv_cshasta
ASV1015,cshasta,cshasta,-0.39535266414341175,0.38537209304667386,0.3114259268721232,cshasta,0.9875681237138398,40,11,A_asv_cshasta
ASV1021,cshasta,cshasta,-0.6272171552627621,0.4070955668961018,0.13167386448216906,cshasta,0.9875681237138398,40,10,A_asv_cshasta
ASV1040,cshasta,cshasta,0.26986481857887296,0.35016903340935884,0.44566786962312555,cshasta,0.9875681237138398,40,14,A_asv_cshasta
ASV1090,cshasta,cshasta,0.06146925026606543,0.26483065990069937,0.817699817532071,cshasta,0.9875681237138398,40,7,A_asv_cshasta
ASV1094,cshasta,cshasta,0.15770857663348478,0.2570209180619641,0.5431341504992798,cshasta,0.9875681237138398,40,11,A_asv_cshasta
ASV1099,cshasta,cshasta,0.08953001351962382,0.32594433762844344,0.7850508697670975,cshasta,0.9875681237138398,40,7,A_asv_cshasta
ASV1129,cshasta,cshasta,0.4495723648748634,0.34042896863252825,0.1945316614037312,cshasta,0.9875681237138398,40,7,A_asv_cshasta
ASV1153,cshasta,cshasta,-0.19092498501235644,0.48069230056959683,0.6934513842203707,cshasta,0.9875681237138398,40,30,A_asv_cshasta
ASV1213,cshasta,cshasta,-0.2936409231394562,0.4125133122010656,0.4809152581353009,cshasta,0.9875681237138398,40,34,A_asv_cshasta
ASV1240,cshasta,cshasta,0.03652901544576748,0.13467145865874783,0.787670393681801,cshasta,0.9875681237138398,40,35,A_asv_cshasta
ASV1241,cshasta,cshasta,-0.32084984127674776,0.40091612031063817,0.428516904489348,cshasta,0.9875681237138398,40,15,A_asv_cshasta
ASV1244,cshasta,cshasta,0.08284633836786717,0.36584017811503483,0.8220613086185068,cshasta,0.9875681237138398,40,37,A_asv_cshasta
ASV1281,cshasta,cshasta,-0.08773907084018674,0.34402338361181456,0.8000689738678808,cshasta,0.9875681237138398,40,10,A_asv_cshasta
ASV1287,cshasta,cshasta,-0.49478669994208374,0.3733311180952692,0.19297556045165928,cshasta,0.9875681237138398,40,8,A_asv_cshasta
ASV1331,cshasta,cshasta,0.11576678356483276,0.11607084035127734,0.32488894675834945,cshasta,0.9875681237138398,40,35,A_asv_cshasta
ASV1380,cshasta,cshasta,-0.6668842924042606,0.46178676324749063,0.15689493306333044,cshasta,0.9875681237138398,40,37,A_asv_cshasta
ASV1390,cshasta,cshasta,-0.25283304875402,0.25678724585909146,0.3310478222021547,cshasta,0.9875681237138398,40,10,A_asv_cshasta
ASV1402,cshasta,cshasta,-0.9373404829107658,0.4260091868431489,0.03393821298435221,cshasta,0.9875681237138398,40,14,A_asv_cshasta
ASV1414,cshasta,cshasta,-0.1062207125120721,0.22010376078639302,0.632152706955337,cshasta,0.9875681237138398,40,7,A_asv_cshasta
ASV1436,cshasta,cshasta,-0.00984936352683557,0.0940058872183281,0.9171063058213497,cshasta,0.9875681237138398,40,40,A_asv_cshasta
ASV1462,cshasta,cshasta,-0.15723530253684376,0.2713000249601244,0.5656301728425763,cshasta,0.9875681237138398,40,8,A_asv_cshasta
ASV1468,cshasta,cshasta,-0.2917805536377102,0.19558370654696536,0.1439958119105057,cshasta,0.9875681237138398,40,12,A_asv_cshasta
ASV1491,cshasta,cshasta,0.049136245237556546,0.29353561537106926,0.8679473248663703,cshasta,0.9875681237138398,40,6,A_asv_cshasta
ASV1519,cshasta,cshasta,0.5611550183198312,0.5113345887403464,0.27935816507875966,cshasta,0.9875681237138398,40,24,A_asv_cshasta
ASV1592,cshasta,cshasta,-0.04113042427669998,0.31144879017929056,0.8956323593489977,cshasta,0.9875681237138398,40,5,A_asv_cshasta
ASV1599,cshasta,cshasta,0.046859942515955044,0.15997833427599611,0.7711812699622743,cshasta,0.9875681237138398,40,37,A_asv_cshasta
ASV1647,cshasta,cshasta,-0.1154997236947731,0.396792592266327,0.7725705060253436,cshasta,0.9875681237138398,40,20,A_asv_cshasta
ASV1652,cshasta,cshasta,-0.07613416574283316,0.2421054210695558,0.7548865135266747,cshasta,0.9875681237138398,40,5,A_asv_cshasta
ASV1675,cshasta,cshasta,0.3317515310468848,0.2483625424595826,0.1895748972084382,cshasta,0.9875681237138398,40,6,A_asv_cshasta
ASV1701,cshasta,cshasta,0.8578768616478398,0.38739317120205097,0.032867214087113024,cshasta,0.9875681237138398,40,9,A_asv_cshasta
ASV1712,cshasta,cshasta,-0.09442240669321827,0.32112405527919013,0.7703296694554025,cshasta,0.9875681237138398,40,8,A_asv_cshasta
ASV1715,cshasta,cshasta,0.07160493707630919,0.1778238536012289,0.6894449446247013,cshasta,0.9875681237138398,40,37,A_asv_cshasta
ASV1736,cshasta,cshasta,-0.04125252404513726,0.10606077485552963,0.6994828577621307,cshasta,0.9875681237138398,40,38,A_asv_cshasta
ASV1744,cshasta,cshasta,0.19748004741665323,0.3223059523746231,0.5437178289543261,cshasta,0.9875681237138398,40,5,A_asv_cshasta
ASV1753,cshasta,cshasta,0.35238386393048887,0.386850964153311,0.36808859755173473,cshasta,0.9875681237138398,40,13,A_asv_cshasta
ASV1784,cshasta,cshasta,0.42905946079582963,0.28550635780060535,0.14115588984659655,cshasta,0.9875681237138398,40,7,A_asv_cshasta
ASV1788,cshasta,cshasta,0.03834133568541744,0.3437889630835361,0.9117864315765862,cshasta,0.9875681237138398,40,8,A_asv_cshasta
ASV1796,cshasta,cshasta,0.08298182942738533,0.2926562259199328,0.7782966224714071,cshasta,0.9875681237138398,40,7,A_asv_cshasta
ASV1806,cshasta,cshasta,-0.10412256797029991,0.29255873850237324,0.7238814255333093,cshasta,0.9875681237138398,40,5,A_asv_cshasta
ASV1814,cshasta,cshasta,0.08801505503552845,0.2213350211101422,0.6931093739399515,cshasta,0.9875681237138398,40,38,A_asv_cshasta
ASV1825,cshasta,cshasta,-0.20383545960016244,0.33516684779086364,0.5466986301871891,cshasta,0.9875681237138398,40,8,A_asv_cshasta
ASV1831,cshasta,cshasta,0.1408566030403837,0.14621852550244452,0.34147282689430836,cshasta,0.9875681237138398,40,32,A_asv_cshasta
ASV1833,cshasta,cshasta,-0.7238212211438013,0.46000770920096273,0.12389370732017616,cshasta,0.9875681237138398,40,38,A_asv_cshasta
ASV1835,cshasta,cshasta,-0.39020937521847143,0.4580007191903627,0.39956060046597275,cshasta,0.9875681237138398,40,39,A_asv_cshasta
ASV1879,cshasta,cshasta,0.291411058546124,0.3202006946742226,0.3685125145451298,cshasta,0.9875681237138398,40,5,A_asv_cshasta
ASV1887,cshasta,cshasta,0.2163553812651889,0.29761439318737287,0.4717021376012387,cshasta,0.9875681237138398,40,10,A_asv_cshasta
ASV1897,cshasta,cshasta,-0.3650758570678368,0.31547486727829294,0.25440253629286713,cshasta,0.9875681237138398,40,5,A_asv_cshasta
ASV1898,cshasta,cshasta,0.02940586613068808,0.21231856340199554,0.8905775808704368,cshasta,0.9875681237138398,40,6,A_asv_cshasta
ASV1906,cshasta,cshasta,0.08768371196047066,0.40275027626831583,0.8288180925946376,cshasta,0.9875681237138398,40,40,A_asv_cshasta
