feature,metadata,value,coef,stderr,pval,name,qval,N,N.not.zero,model
Methylobacterium,cshasta,cshasta,0.20695292453819053,0.45331601105814584,0.6506068629213855,cshasta,0.9491707888928229,40,30,A_genus_cshasta
Streptococcus,cshasta,cshasta,0.715981527297717,0.4110858625639957,0.08965450179537167,cshasta,0.9491707888928229,40,38,A_genus_cshasta
Neisseriaceae,cshasta,cshasta,-0.2931637878992334,0.4014589075298282,0.46971811072773184,cshasta,0.9491707888928229,40,9,A_genus_cshasta
Paucibacter,cshasta,cshasta,0.10196615672098634,0.31605912583294216,0.7487534890047997,cshasta,0.9491707888928229,40,40,A_genus_cshasta
Rhodococcus,cshasta,cshasta,0.3874543717667198,0.278896240978044,0.17284689593435737,cshasta,0.9491707888928229,40,38,A_genus_cshasta
Lactobacillus,cshasta,cshasta,0.08382232617336462,0.19721126885670476,0.6732060812143486,cshasta,0.9491707888928229,40,37,A_genus_cshasta
Noviherbaspirillum,cshasta,cshasta,0.2732143572728057,0.4319326232028536,0.5308225328503564,cshasta,0.9491707888928229,40,13,A_genus_cshasta
Deinococcus,cshasta,cshasta,-0.8362328276126778,0.4373644708767201,0.06344012957765088,cshasta,0.9491707888928229,40,20,A_genus_cshasta
Aeromonas,cshasta,cshasta,0.4565187045482418,0.38242433895523215,0.23997544730389656,cshasta,0.9491707888928229,40,39,A_genus_cshasta
Brevibacterium,cshasta,cshasta,0.2163911950620741,0.3697119649841376,0.561808121573238,cshasta,0.9491707888928229,40,9,A_genus_cshasta
Luteolibacter,cshasta,cshasta,-0.32492623189588576,0.3202594177705257,0.316726575636515,cshasta,0.9491707888928229,40,6,A_genus_cshasta
Tychonema.CCAP.1459.11B,cshasta,cshasta,-0.44143742885395637,0.33673898164996724,0.19775250942082273,cshasta,0.9491707888928229,40,5,A_genus_cshasta
Abiotrophia,cshasta,cshasta,-0.11449414268697393,0.3247428982813067,0.7263599867993321,cshasta,0.9491707888928229,40,7,A_genus_cshasta
Granulicatella,cshasta,cshasta,0.15902891876950595,0.359054862752679,0.6603421724738416,cshasta,0.9491707888928229,40,7,A_genus_cshasta
Mobilicoccus,cshasta,cshasta,-0.33905172019623286,0.3034359537425523,0.2708490768108184,cshasta,0.9491707888928229,40,7,A_genus_cshasta
Chroococcidiopsaceae,cshasta,cshasta,0.127301013874944,0.27945582296987864,0.6513190972814622,cshasta,0.9491707888928229,40,7,A_genus_cshasta
Haemophilus,cshasta,cshasta,-0.21901501356783115,0.37804744201295926,0.5657839757904362,cshasta,0.9491707888928229,40,10,A_genus_cshasta
Klebsiella,cshasta,cshasta,0.6002448430717875,0.4231394146563488,0.16417991249098468,cshasta,0.9491707888928229,40,34,A_genus_cshasta
Anaerococcus,cshasta,cshasta,0.12206755867484335,0.3822569792841095,0.7512223814694041,cshasta,0.9491707888928229,40,10,A_genus_cshasta
Thermus,cshasta,cshasta,0.3630553165196586,0.44100950199586514,0.41550997582593274,cshasta,0.9491707888928229,40,12,A_genus_cshasta
Frondihabitans,cshasta,cshasta,0.43067944641290157,0.3116761710561533,0.1750980640818353,cshasta,0.9491707888928229,40,6,A_genus_cshasta
Hafnia.Obesumbacterium,cshasta,cshasta,-0.6391350509701184,0.41121060801861464,0.12840849089986608,cshasta,0.9491707888928229,40,8,A_genus_cshasta
Curtobacterium,cshasta,cshasta,0.31870623557031713,0.3598880418052585,0.38141882114174064,cshasta,0.9491707888928229,40,9,A_genus_cshasta
Citrobacter,cshasta,cshasta,0.14579068092612846,0.263529650963868,0.58335108531796,cshasta,0.9491707888928229,40,6,A_genus_cshasta
Ephemeroptericola,cshasta,cshasta,0.4376544691675072,0.354209301514173,0.22419849416384904,cshasta,0.9491707888928229,40,6,A_genus_cshasta
Geobacillus,cshasta,cshasta,-0.2028428807197128,0.47541780333050454,0.6720328405165255,cshasta,0.9491707888928229,40,26,A_genus_cshasta
Pseudomonas,cshasta,cshasta,0.5764926489980509,0.415503090132042,0.17338604051550646,cshasta,0.9491707888928229,40,37,A_genus_cshasta
Tetragenococcus,cshasta,cshasta,0.24379367967081236,0.37207602902499465,0.5162698186052573,cshasta,0.9491707888928229,40,37,A_genus_cshasta
Bifidobacterium,cshasta,cshasta,-0.06297082142716404,0.13746700897567923,0.6495041784818404,cshasta,0.9491707888928229,40,36,A_genus_cshasta
Psychrobacter,cshasta,cshasta,-0.4284427494001467,0.36405021711752317,0.24656355068880323,cshasta,0.9491707888928229,40,5,A_genus_cshasta
